ID,POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LAT,LONG
,651-00208,651-00200,8,Black,MS,N,N,SFMTA,ON,0,20,SANSOME ST,11542000,MC5,Downtown,37.790936,-122.400618
,561-00011,561-00010,1,Black,MS,N,N,SFMTA,ON,0,1,MAIN ST,8627000,MC5,Downtown,37.792971,-122.39622
,216-31170,-,0,Black,SS,Y,N,SFMTA,ON,0,3117,16TH ST,732000,MC5,Mission,37.7648,-122.422682
,462-14230,-,0,Black,SS,N,N,SFMTA,ON,0,1423,HAIGHT ST,6618000,MC3, ,37.770044,-122.446163
,462-18060,-,0,Black,SS,N,N,SFMTA,ON,0,1806,HAIGHT ST,6624000,MC3, ,37.769419,-122.452039
,355-02330,-,0,Black,SS,N,N,SFMTA,ON,0,233,CHURCH ST,4010000,MC3, ,37.766466,-122.428743
,469-17540,-,0,Black,SS,N,N,SFMTA,ON,0,1754,HOLLOWAY AVE,6998201,MC3, ,37.721012,-122.480462
,687-00670,-,0,Black,SS,N,N,SFMTA,ON,0,67,TAPIA DR,12375000,MC3, ,37.721612,-122.480579
,720-05241,720-05240,1,Black,MS,N,N,SFMTA,ON,0,524,WASHINGTON ST,13408000,MC5,Downtown,37.795672,-122.402631
,568-02451,568-02450,1,Black,MS,N,N,SFMTA,ON,0,245,MISSION ST,9085000,MC5,Downtown,37.791237,-122.39556
,328-01300,-,0,Black,SS,N,N,SFMTA,ON,0,130,BEALE ST,2864000,MC5,Downtown,37.790519,-122.395171
,691-17120,-,0,Black,SS,N,N,SFMTA,ON,0,1712,UNION ST,12866000,MC3, ,37.79814,-122.427715
,857-17090,857-17001,9,Black,MS,N,N,PORT,ON,0,1709,MONTGOMERY ST,9321000,PortMC1, ,37.804905,-122.40526
,462-15050,-,0,Black,SS,N,N,SFMTA,ON,0,1505,HAIGHT ST,6619000,MC3, ,37.769917,-122.447159
,462-18030,-,0,Black,SS,N,N,SFMTA,ON,0,1803,HAIGHT ST,6624000,MC3, ,37.769298,-122.452009
,568-16601,568-16600,1,Black,MS,N,N,SFMTA,ON,0,1660,MISSION ST,9110000,MC3, ,37.771422,-122.419576
,469-17500,-,0,Black,SS,N,N,SFMTA,ON,0,1750,HOLLOWAY AVE,6998201,MC3, ,37.721012,-122.480442
,401-07290,401-07001,29,Black,MS,N,N,SFMTA,ON,0,729,ELLIS ST,5178000,MC3, ,37.784063,-122.418664
,324-11021,324-11020,1,Black,MS,N,N,SFMTA,ON,0,1102,BATTERY ST,2767000,MC3, ,37.801485,-122.401557
,590-00620,-,0,Black,SS,Y,N,SFMTA,ON,0,62,OAK ST,9750000,MC5,Civic Center,37.775318,-122.420794
,847-05120,-,0,Black,SS,Y,N,PORT,ON,0,512,JEFFERSON ST,7460000,PortMC1, ,37.807629,-122.420953
,359-05161,359-05160,1,Black,MS,N,N,SFMTA,ON,0,516,CLAY ST,4084000,MC5,Downtown,37.794857,-122.402127
,386-02051,386-02050,1,Black,MS,N,N,SFMTA,ON,0,205,DRUMM ST,4972000,MC5,Downtown,37.795654,-122.396917
,720-05251,720-05250,1,Black,MS,N,N,SFMTA,ON,0,525,WASHINGTON ST,13408000,MC5,Downtown,37.79554,-122.402656
,612-03080,612-03002,8,Black,MS,Y,N,SFMTA,ON,0,308,POLK ST,10549000,MC5,Civic Center,37.779493,-122.418307
,611-03710,-,0,Black,SS,N,N,SFMTA,ON,0,371,PARNASSUS AVE,10293000,MC3, ,37.763596,-122.457183
,857-17030,857-17001,3,Black,MS,N,N,PORT,ON,0,1703,MONTGOMERY ST,9321000,PortMC1, ,37.804953,-122.405269
,324-10261,324-10260,1,Black,MS,N,N,SFMTA,ON,0,1026,BATTERY ST,2766000,MC3, ,37.801174,-122.401492
,691-19080,-,0,Black,SS,N,N,SFMTA,ON,0,1908,UNION ST,12868000,MC3, ,37.797721,-122.43101
,472-00561,472-00560,1,Black,MS,N,N,SFMTA,ON,0,56,HYDE ST,7114000,MC5,Civic Center,37.781002,-122.415294
,328-01330,-,0,Black,SS,N,N,SFMTA,ON,0,133,BEALE ST,2864000,MC5,Downtown,37.790607,-122.394976
,563-03340,563-03004,34,Black,MS,Y,N,SFMTA,ON,0,334,MCALLISTER ST,8893000,MC5,Civic Center,37.780499,-122.417596
,724-00230,-,0,Black,SS,N,N,SFMTA,ON,0,23,WILLOW ST,13662000,MC3, ,37.783645,-122.418456
,386-02031,386-02030,1,Black,MS,N,N,SFMTA,ON,0,203,DRUMM ST,4972000,MC5,Downtown,37.795578,-122.396902
,561-02121,561-02120,1,Black,MS,N,N,SFMTA,ON,0,212,MAIN ST,8629000,MC5,Downtown,37.790211,-122.39302
,691-17200,-,0,Black,SS,N,N,SFMTA,ON,0,1720,UNION ST,12866000,MC3, ,37.79812,-122.427875
,841-00360,841-00002,36,Black,MS,N,N,PORT,ON,0,36,GREEN ST,6438001,PortMC1, ,37.800688,-122.400121
,359-05321,359-05320,1,Black,MS,N,N,SFMTA,ON,0,532,CLAY ST,4085000,MC5,Downtown,37.794824,-122.402512
,442-05450,-,0,Black,SS,N,N,SFMTA,ON,0,545,GOLDEN GATE AVE,6265000,MC5,Civic Center,37.780994,-122.420195
,663-33340,-,0,Black,SS,Y,N,SFMTA,ON,0,3334,STEINER ST,12156000,MC5,Marina,37.800509,-122.437802
,542-10241,542-10240,1,Black,MS,N,N,SFMTA,ON,0,1024,LARKIN ST,8135000,MC3, ,37.787674,-122.418322
,611-03790,-,0,Black,SS,N,N,SFMTA,ON,0,379,PARNASSUS AVE,10293000,MC3, ,37.763587,-122.457215
,826-06720,826-06002,72,Black,MS,N,N,PORT,ON,0,672,DELANCEY ST,117000,PortMC1, ,37.782913,-122.389121
,826-06740,826-06002,74,Black,MS,N,N,PORT,ON,0,674,DELANCEY ST,117000,PortMC1, ,37.782903,-122.389109
,463-00391,463-00390,1,Black,MS,N,N,SFMTA,ON,0,39,HAWTHORNE ST,6809000,MC5,Downtown,37.784929,-122.398064
,331-06750,-,0,Black,SS,Y,N,SFMTA,ON,0,675,BRYANT ST,3285000,MC5,South Embarcadero,37.778065,-122.399804
,691-16300,-,0,Black,SS,N,N,SFMTA,ON,0,1630,UNION ST,12865000,MC3, ,37.798279,-122.426623
,216-31130,-,0,Black,SS,Y,N,SFMTA,ON,0,3113,16TH ST,732000,MC5,Mission,37.764801,-122.422665
,573-01391,573-01390,1,Black,MS,N,N,SFMTA,ON,0,139,ALICE B TOKLAS PL,9472000,MC3, ,37.785232,-122.421004
,211-00071,211-00070,1,Black,MS,N,N,SFMTA,ON,0,7,11TH ST,508000,MC2, ,37.775404,-122.418319
,209-04360,-,0,Black,SS,N,N,SFMTA,ON,0,436,09TH ST,457000,MC3, ,37.771677,-122.409155
,561-02191,561-02190,1,Black,MS,N,N,SFMTA,ON,0,219,MAIN ST,8629000,MC5,Downtown,37.790438,-122.393048
